Time [s]	Temp. [ C]	E1	E3	E4	F1	F3	F4	G1	G3	G4	Time_hs	Time
11400.2	   29.0	 7028.0	16025.0	16796.0	 7183.0	13857.0	17769.0	 7097.0	19223.0	19051.0	3.1667222222222224	3.16672222222222
11700.2	   29.2	 7031.0	16101.0	16876.0	 6823.0	13500.0	17733.0	 7034.0	19581.0	19229.0	3.250055555555556	3.25005555555556
12000.2	   29.2	 7087.0	15945.0	16855.0	 6980.0	13786.0	17922.0	 7037.0	19341.0	19087.0	3.3333888888888894	3.33338888888889
12300.2	   29.3	 7145.0	15808.0	17222.0	 7080.0	13599.0	17751.0	 7133.0	19385.0	19411.0	3.4167222222222224	3.41672222222222
12600.2	   29.4	 7106.0	15903.0	17179.0	 7018.0	13800.0	17970.0	 7119.0	19620.0	19224.0	3.500055555555556	3.50005555555556
12900.2	   29.2	 6921.0	15828.0	17177.0	 6979.0	13990.0	18023.0	 7079.0	19474.0	19201.0	3.5833888888888894	3.58338888888889
13200.2	   29.3	 7127.0	16059.0	17160.0	 7086.0	14011.0	17782.0	 7166.0	19523.0	19078.0	3.6667222222222224	3.66672222222222
13500.2	   29.3	 6947.0	15975.0	17098.0	 6911.0	13677.0	18185.0	 6984.0	19253.0	19375.0	3.750055555555556	3.75005555555556
13800.2	   29.5	 6846.0	16116.0	17033.0	 6984.0	13669.0	18349.0	 6919.0	19279.0	19374.0	3.8333888888888894	3.83338888888889
14100.2	   29.5	 7001.0	16002.0	17198.0	 6888.0	13678.0	18643.0	 7162.0	18924.0	19285.0	3.9167222222222224	3.91672222222222
14400.2	   29.1	 6969.0	16005.0	17255.0	 6930.0	13428.0	18448.0	 7018.0	19034.0	19155.0	4.000055555555556	4.00005555555556
14700.2	   29.5	 7094.0	15482.0	17457.0	 6919.0	13461.0	18422.0	 7185.0	18822.0	19048.0	4.083388888888889	4.08338888888889
15000.2	   29.3	 6981.0	15150.0	17276.0	 7018.0	13736.0	18225.0	 6987.0	18644.0	19474.0	4.166722222222223	4.16672222222222
15300.2	   29.5	 7105.0	15537.0	17623.0	 6949.0	13479.0	18107.0	 7093.0	19062.0	19139.0	4.250055555555556	4.25005555555556
15600.2	   29.2	 6967.0	15376.0	17550.0	 7048.0	13402.0	18132.0	 7153.0	19090.0	19028.0	4.333388888888889	4.33338888888889
15900.2	   29.1	 6944.0	15389.0	17390.0	 6984.0	13133.0	17672.0	 7104.0	18770.0	18837.0	4.416722222222222	4.41672222222222
16200.2	   29.2	 6967.0	15359.0	17559.0	 6807.0	13377.0	17967.0	 7119.0	19125.0	19189.0	4.500055555555556	4.50005555555556
16500.2	   29.2	 6919.0	15459.0	17467.0	 7016.0	13382.0	17927.0	 7043.0	19043.0	18955.0	4.583388888888889	4.58338888888889
16800.2	   29.0	 6803.0	15388.0	17386.0	 6862.0	12840.0	17883.0	 7023.0	18567.0	19187.0	4.666722222222222	4.66672222222222
17100.2	   29.3	 6898.0	15027.0	17153.0	 7003.0	13069.0	18088.0	 7105.0	18887.0	19228.0	4.750055555555556	4.75005555555556
17400.2	   29.1	 6985.0	15188.0	17312.0	 6843.0	12819.0	18284.0	 6835.0	18729.0	18998.0	4.833388888888889	4.83338888888889
17700.2	   29.2	 6971.0	15013.0	17538.0	 6994.0	12940.0	17768.0	 7028.0	18388.0	18929.0	4.916722222222222	4.91672222222222
18000.2	   29.5	 6960.0	14971.0	17396.0	 6978.0	13140.0	17944.0	 7170.0	18636.0	18693.0	5.000055555555556	5.00005555555556
18300.2	   29.5	 7114.0	15089.0	17684.0	 6888.0	12849.0	17966.0	 7022.0	18517.0	19154.0	5.083388888888889	5.08338888888889
